variable,value,lms_period
AIWH,69.6,2013-01-01
AIWI,68.1,2013-01-01
AIWL,70.8,2013-01-01
AIWX,65.1,2013-01-01
AIXB,26.3,2013-01-01
AIXR,39.7,2013-01-01
AIXS,18.4,2013-01-01
AIXT,19.2,2013-01-01
AIXW,20.8,2013-01-01
AIXZ,17.2,2013-01-01
AIYC,27.5,2013-01-01
AIYL,36.5,2013-01-01
AIYS,38.3,2013-01-01
AIYT,14.7,2013-01-01
AIYU,15.8,2013-01-01
AIYX,10.6,2013-01-01
AIZA,21.3,2013-01-01
AIZD,63.6,2013-01-01
JN5R,7330.0,2013-01-01
JN62,3176.0,2013-01-01
JN69,203.0,2013-01-01
JN6A,3951.0,2013-01-01
JN6B,4154.0,2013-01-01
JN6E,2133.0,2013-01-01
JN6H,2021.0,2013-01-01
LF2Q,8.2,2013-01-01
LF2S,22.5,2013-01-01
MGUQ,3664.0,2013-01-01
MGVF,988.0,2013-01-01
MGVU,2678.0,2013-01-01
MGWY,21.2,2013-01-01
YBVH,199.0,2013-01-01
YBVN,792.0,2013-01-01
YBXG,37.0,2013-01-01
YBXJ,26.0,2013-01-01
YBXM,13.1,2013-01-01
YBXV,133.0,2013-01-01
YBXY,254.0,2013-01-01
YBYB,32.1,2013-01-01
AGNH,74.0,2013-02-01
AGNI,2749.0,2013-02-01
AGNJ,2823.0,2013-02-01
AGNM,1510.0,2013-02-01
AGNP,1313.0,2013-02-01
AGNT,858.0,2013-02-01
AGOJ,52.0,2013-02-01
AGOK,619.0,2013-02-01
AGOL,671.0,2013-02-01
AGOO,394.0,2013-02-01
AGOR,277.0,2013-02-01
AGOU,294.0,2013-02-01
AGPK,70.0,2013-02-01
AGPL,575.0,2013-02-01
AGPM,646.0,2013-02-01
AGPP,218.0,2013-02-01
AGPS,428.0,2013-02-01
AGPV,2034.0,2013-02-01
AIVZ,50.2,2013-02-01
AIWG,37.7,2013-02-01
AIWH,69.7,2013-02-01
AIWI,68.2,2013-02-01
AIWL,71.2,2013-02-01
AIWX,65.1,2013-02-01
AIXB,26.9,2013-02-01
AIXR,41.3,2013-02-01
AIXS,18.4,2013-02-01
AIXT,19.2,2013-02-01
AIXW,20.7,2013-02-01
AIXZ,17.4,2013-02-01
AIYC,25.5,2013-02-01
AIYL,36.6,2013-02-01
AIYS,35.8,2013-02-01
AIYT,14.6,2013-02-01
AIYU,15.6,2013-02-01
AIYX,10.3,2013-02-01
AIZA,21.2,2013-02-01
AIZD,63.8,2013-02-01
JN5R,7327.0,2013-02-01
JN62,3187.0,2013-02-01
JN69,197.0,2013-02-01
JN6A,3944.0,2013-02-01
JN6B,4140.0,2013-02-01
JN6E,2122.0,2013-02-01
JN6H,2019.0,2013-02-01
LF2Q,8.1,2013-02-01
LF2S,22.6,2013-02-01
MGUQ,3681.0,2013-02-01
MGVF,966.0,2013-02-01
MGVU,2680.0,2013-02-01
MGWY,20.8,2013-02-01
YBVH,193.0,2013-02-01
YBVN,776.0,2013-02-01
YBXG,34.0,2013-02-01
YBXJ,28.0,2013-02-01
YBXM,14.4,2013-02-01
YBXV,126.0,2013-02-01
YBXY,246.0,2013-02-01
YBYB,31.9,2013-02-01
AGNH,76.0,2013-03-01
AGNI,2752.0,2013-03-01
AGNJ,2827.0,2013-03-01
AGNM,1514.0,2013-03-01
AGNP,1314.0,2013-03-01
AGNT,862.0,2013-03-01
AGOJ,48.0,2013-03-01
AGOK,613.0,2013-03-01
AGOL,661.0,2013-03-01
AGOO,389.0,2013-03-01
AGOR,273.0,2013-03-01
AGOU,292.0,2013-03-01
AGPK,73.0,2013-03-01
AGPL,565.0,2013-03-01
AGPM,638.0,2013-03-01
AGPP,223.0,2013-03-01
AGPS,414.0,2013-03-01
AGPV,2043.0,2013-03-01
AIVZ,50.4,2013-03-01
AIWG,38.6,2013-03-01
AIWH,70.0,2013-03-01
AIWI,68.5,2013-03-01
AIWL,71.2,2013-03-01
AIWX,65.7,2013-03-01
AIXB,27.0,2013-03-01
AIXR,38.7,2013-03-01
AIXS,18.2,2013-03-01
AIXT,19.0,2013-03-01
AIXW,20.4,2013-03-01
AIXZ,17.2,2013-03-01
AIYC,25.3,2013-03-01
AIYL,36.6,2013-03-01
AIYS,37.1,2013-03-01
AIYT,14.4,2013-03-01
AIYU,15.5,2013-03-01
AIYX,10.5,2013-03-01
AIZA,20.7,2013-03-01
AIZD,63.9,2013-03-01
JN5R,7323.0,2013-03-01
JN62,3197.0,2013-03-01
JN69,197.0,2013-03-01
JN6A,3930.0,2013-03-01
JN6B,4127.0,2013-03-01
JN6E,2126.0,2013-03-01
JN6H,2001.0,2013-03-01
LF2Q,8.0,2013-03-01
LF2S,22.6,2013-03-01
MGUQ,3689.0,2013-03-01
MGVF,953.0,2013-03-01
MGVU,2681.0,2013-03-01
MGWY,20.5,2013-03-01
YBVH,186.0,2013-03-01
YBVN,770.0,2013-03-01
YBXG,30.0,2013-03-01
YBXJ,28.0,2013-03-01
YBXM,15.1,2013-03-01
YBXV,127.0,2013-03-01
YBXY,236.0,2013-03-01
YBYB,30.8,2013-03-01
AGNH,73.0,2013-04-01
AGNI,2712.0,2013-04-01
AGNJ,2785.0,2013-04-01
AGNM,1486.0,2013-04-01
AGNP,1299.0,2013-04-01
AGNT,866.0,2013-04-01
AGOJ,51.0,2013-04-01
AGOK,621.0,2013-04-01
AGOL,673.0,2013-04-01
AGOO,398.0,2013-04-01
AGOR,275.0,2013-04-01
AGOU,293.0,2013-04-01
AGPK,70.0,2013-04-01
AGPL,556.0,2013-04-01
AGPM,627.0,2013-04-01
AGPP,219.0,2013-04-01
AGPS,408.0,2013-04-01
AGPV,2076.0,2013-04-01
AIVZ,49.9,2013-04-01
AIWG,37.6,2013-04-01
AIWH,69.7,2013-04-01
AIWI,68.2,2013-04-01
AIWL,70.7,2013-04-01
AIWX,65.6,2013-04-01
AIXB,26.8,2013-04-01
AIXR,41.2,2013-04-01
AIXS,18.6,2013-04-01
AIXT,19.5,2013-04-01
AIXW,21.1,2013-04-01
AIXZ,17.5,2013-04-01
AIYC,25.3,2013-04-01
AIYL,36.9,2013-04-01
AIYS,36.0,2013-04-01
AIYT,14.3,2013-04-01
AIYU,15.3,2013-04-01
AIYX,10.4,2013-04-01
AIZA,20.6,2013-04-01
AIZD,64.2,2013-04-01
JN5R,7320.0,2013-04-01
JN62,3236.0,2013-04-01
JN69,195.0,2013-04-01
JN6A,3889.0,2013-04-01
JN6B,4084.0,2013-04-01
JN6E,2103.0,2013-04-01
JN6H,1982.0,2013-04-01
LF2Q,8.0,2013-04-01
LF2S,22.7,2013-04-01
MGUQ,3651.0,2013-04-01
MGVF,966.0,2013-04-01
MGVU,2703.0,2013-04-01
MGWY,20.9,2013-04-01
YBVH,196.0,2013-04-01
YBVN,775.0,2013-04-01
YBXG,36.0,2013-04-01
YBXJ,29.0,2013-04-01
YBXM,15.1,2013-04-01
YBXV,120.0,2013-04-01
YBXY,252.0,2013-04-01
YBYB,32.7,2013-04-01
AGNH,74.0,2013-05-01
AGNI,2682.0,2013-05-01
AGNJ,2756.0,2013-05-01
AGNM,1475.0,2013-05-01
AGNP,1281.0,2013-05-01
AGNT,861.0,2013-05-01
AGOJ,49.0,2013-05-01
AGOK,632.0,2013-05-01
AGOL,681.0,2013-05-01
AGOO,413.0,2013-05-01
AGOR,268.0,2013-05-01
AGOU,303.0,2013-05-01
AGPK,68.0,2013-05-01
AGPL,561.0,2013-05-01
AGPM,629.0,2013-05-01
AGPP,219.0,2013-05-01
AGPS,409.0,2013-05-01
AGPV,2088.0,2013-05-01
AIVZ,49.4,2013-05-01
AIWG,38.8,2013-05-01
AIWH,69.2,2013-05-01
AIWI,67.8,2013-05-01
AIWL,70.0,2013-05-01
AIWX,65.4,2013-05-01
AIXB,26.5,2013-05-01
AIXR,39.8,2013-05-01
AIXS,19.1,2013-05-01
AIXT,19.8,2013-05-01
AIXW,21.9,2013-05-01
AIXZ,17.3,2013-05-01
AIYC,26.0,2013-05-01
AIYL,37.1,2013-05-01
AIYS,35.5,2013-05-01
AIYT,14.5,2013-05-01
AIYU,15.5,2013-05-01
AIYX,10.4,2013-05-01
AIZA,20.9,2013-05-01
AIZD,64.2,2013-05-01
JN5R,7317.0,2013-05-01
JN62,3252.0,2013-05-01
JN69,191.0,2013-05-01
JN6A,3874.0,2013-05-01
JN6B,4065.0,2013-05-01
JN6E,2107.0,2013-05-01
JN6H,1958.0,2013-05-01
LF2Q,7.9,2013-05-01
LF2S,22.6,2013-05-01
MGUQ,3616.0,2013-05-01
MGVF,983.0,2013-05-01
MGVU,2717.0,2013-05-01
MGWY,21.4,2013-05-01
YBVH,198.0,2013-05-01
YBVN,790.0,2013-05-01
YBXG,39.0,2013-05-01
YBXJ,24.0,2013-05-01
YBXM,11.9,2013-05-01
YBXV,128.0,2013-05-01
YBXY,254.0,2013-05-01
YBYB,32.3,2013-05-01
AGNH,77.0,2013-06-01
AGNI,2708.0,2013-06-01
AGNJ,2784.0,2013-06-01
AGNM,1489.0,2013-06-01
AGNP,1296.0,2013-06-01
AGNT,842.0,2013-06-01
AGOJ,52.0,2013-06-01
AGOK,628.0,2013-06-01
AGOL,681.0,2013-06-01
AGOO,411.0,2013-06-01
AGOR,269.0,2013-06-01
AGOU,299.0,2013-06-01
AGPK,67.0,2013-06-01
AGPL,559.0,2013-06-01
AGPM,626.0,2013-06-01
AGPP,207.0,2013-06-01
AGPS,419.0,2013-06-01
AGPV,2082.0,2013-06-01
AIVZ,49.6,2013-06-01
AIWG,39.2,2013-06-01
AIWH,69.5,2013-06-01
AIWI,68.1,2013-06-01
AIWL,70.6,2013-06-01
AIWX,65.3,2013-06-01
AIXB,26.1,2013-06-01
AIXR,40.6,2013-06-01
AIXS,18.8,2013-06-01
AIXT,19.6,2013-06-01
AIXW,21.7,2013-06-01
AIXZ,17.2,2013-06-01
AIYC,26.2,2013-06-01
AIYL,37.0,2013-06-01
AIYS,34.1,2013-06-01
AIYT,14.4,2013-06-01
AIYU,15.3,2013-06-01
AIYX,9.8,2013-06-01
AIZA,21.1,2013-06-01
AIZD,64.6,2013-06-01
JN5R,7313.0,2013-06-01
JN62,3222.0,2013-06-01
JN69,195.0,2013-06-01
JN6A,3895.0,2013-06-01
JN6B,4091.0,2013-06-01
JN6E,2107.0,2013-06-01
JN6H,1984.0,2013-06-01
LF2Q,7.9,2013-06-01
LF2S,22.5,2013-06-01
MGUQ,3626.0,2013-06-01
MGVF,980.0,2013-06-01
MGVU,2708.0,2013-06-01
MGWY,21.3,2013-06-01
YBVH,201.0,2013-06-01
YBVN,783.0,2013-06-01
YBXG,40.0,2013-06-01
YBXJ,22.0,2013-06-01
YBXM,11.0,2013-06-01
YBXV,130.0,2013-06-01
YBXY,261.0,2013-06-01
YBYB,33.5,2013-06-01
AGNH,78.0,2013-07-01
AGNI,2740.0,2013-07-01
AGNJ,2818.0,2013-07-01
AGNM,1495.0,2013-07-01
AGNP,1324.0,2013-07-01
AGNT,807.0,2013-07-01
AGOJ,43.0,2013-07-01
AGOK,630.0,2013-07-01
AGOL,673.0,2013-07-01
AGOO,415.0,2013-07-01
AGOR,257.0,2013-07-01
AGOU,310.0,2013-07-01
AGPK,70.0,2013-07-01
AGPL,564.0,2013-07-01
AGPM,633.0,2013-07-01
AGPP,210.0,2013-07-01
AGPS,424.0,2013-07-01
AGPV,2070.0,2013-07-01
AIVZ,49.6,2013-07-01
AIWG,41.0,2013-07-01
AIWH,69.7,2013-07-01
AIWI,68.3,2013-07-01
AIWL,70.5,2013-07-01
AIWX,66.0,2013-07-01
AIXB,25.3,2013-07-01
AIXR,35.6,2013-07-01
AIXS,18.7,2013-07-01
AIXT,19.3,2013-07-01
AIXW,21.7,2013-07-01
AIXZ,16.3,2013-07-01
AIYC,27.7,2013-07-01
AIYL,37.0,2013-07-01
AIYS,36.4,2013-07-01
AIYT,14.3,2013-07-01
AIYU,15.4,2013-07-01
AIYX,9.9,2013-07-01
AIZA,21.1,2013-07-01
AIZD,64.9,2013-07-01
JN5R,7311.0,2013-07-01
JN62,3186.0,2013-07-01
JN69,191.0,2013-07-01
JN6A,3933.0,2013-07-01
JN6B,4124.0,2013-07-01
JN6E,2120.0,2013-07-01
JN6H,2005.0,2013-07-01
LF2Q,7.9,2013-07-01
LF2S,22.4,2013-07-01
MGUQ,3625.0,2013-07-01
MGVF,983.0,2013-07-01
MGVU,2703.0,2013-07-01
MGWY,21.3,2013-07-01
YBVH,194.0,2013-07-01
YBVN,794.0,2013-07-01
YBXG,33.0,2013-07-01
YBXJ,26.0,2013-07-01
YBXM,13.4,2013-07-01
YBXV,147.0,2013-07-01
YBXY,251.0,2013-07-01
YBYB,31.8,2013-07-01
AGNH,84.0,2013-08-01
AGNI,2764.0,2013-08-01
AGNJ,2848.0,2013-08-01
AGNM,1516.0,2013-08-01
AGNP,1332.0,2013-08-01
AGNT,826.0,2013-08-01
AGOJ,42.0,2013-08-01
AGOK,631.0,2013-08-01
AGOL,672.0,2013-08-01
AGOO,404.0,2013-08-01
AGOR,268.0,2013-08-01
AGOU,314.0,2013-08-01
AGPK,62.0,2013-08-01
AGPL,566.0,2013-08-01
AGPM,628.0,2013-08-01
AGPP,208.0,2013-08-01
AGPS,420.0,2013-08-01
AGPV,2020.0,2013-08-01
AIVZ,50.3,2013-08-01
AIWG,44.7,2013-08-01
AIWH,69.8,2013-08-01
AIWI,68.7,2013-08-01
AIWL,71.3,2013-08-01
AIWX,65.9,2013-08-01
AIXB,26.1,2013-08-01
AIXR,33.2,2013-08-01
AIXS,18.6,2013-08-01
AIXT,19.1,2013-08-01
AIXW,21.0,2013-08-01
AIXZ,16.8,2013-08-01
AIYC,27.6,2013-08-01
AIYL,36.2,2013-08-01
AIYS,33.1,2013-08-01
AIYT,14.3,2013-08-01
AIYU,15.1,2013-08-01
AIYX,9.8,2013-08-01
AIZA,20.8,2013-08-01
AIZD,63.9,2013-08-01
JN5R,7309.0,2013-08-01
JN62,3160.0,2013-08-01
JN69,188.0,2013-08-01
JN6A,3961.0,2013-08-01
JN6B,4149.0,2013-08-01
JN6E,2128.0,2013-08-01
JN6H,2021.0,2013-08-01
LF2Q,7.8,2013-08-01
LF2S,22.3,2013-08-01
MGUQ,3675.0,2013-08-01
MGVF,987.0,2013-08-01
MGVU,2647.0,2013-08-01
MGWY,21.2,2013-08-01
YBVH,193.0,2013-08-01
YBVN,799.0,2013-08-01
YBXG,29.0,2013-08-01
YBXJ,28.0,2013-08-01
YBXM,14.3,2013-08-01
YBXV,139.0,2013-08-01
YBXY,258.0,2013-08-01
YBYB,32.5,2013-08-01
AGNH,81.0,2013-09-01
AGNI,2758.0,2013-09-01
AGNJ,2838.0,2013-09-01
AGNM,1511.0,2013-09-01
AGNP,1327.0,2013-09-01
AGNT,850.0,2013-09-01
AGOJ,42.0,2013-09-01
AGOK,604.0,2013-09-01
AGOL,646.0,2013-09-01
AGOO,402.0,2013-09-01
AGOR,244.0,2013-09-01
AGOU,311.0,2013-09-01
AGPK,69.0,2013-09-01
AGPL,571.0,2013-09-01
AGPM,640.0,2013-09-01
AGPP,210.0,2013-09-01
AGPS,430.0,2013-09-01
AGPV,2021.0,2013-09-01
AIVZ,50.5,2013-09-01
AIWG,42.1,2013-09-01
AIWH,70.1,2013-09-01
AIWI,68.8,2013-09-01
AIWL,71.2,2013-09-01
AIWX,66.3,2013-09-01
AIXB,26.7,2013-09-01
AIXR,34.4,2013-09-01
AIXS,18.0,2013-09-01
AIXT,18.5,2013-09-01
AIXW,21.0,2013-09-01
AIXZ,15.5,2013-09-01
AIYC,26.8,2013-09-01
AIYL,36.4,2013-09-01
AIYS,35.9,2013-09-01
AIYT,14.5,2013-09-01
AIYU,15.5,2013-09-01
AIYX,9.9,2013-09-01
AIZA,21.5,2013-09-01
AIZD,63.5,2013-09-01
JN5R,7306.0,2013-09-01
JN62,3182.0,2013-09-01
JN69,192.0,2013-09-01
JN6A,3933.0,2013-09-01
JN6B,4125.0,2013-09-01
JN6E,2123.0,2013-09-01
JN6H,2001.0,2013-09-01
LF2Q,7.6,2013-09-01
LF2S,22.3,2013-09-01
MGUQ,3688.0,2013-09-01
MGVF,957.0,2013-09-01
MGVU,2661.0,2013-09-01
MGWY,20.6,2013-09-01
YBVH,193.0,2013-09-01
YBVN,769.0,2013-09-01
YBXG,32.0,2013-09-01
YBXJ,30.0,2013-09-01
YBXM,15.4,2013-09-01
YBXV,137.0,2013-09-01
YBXY,240.0,2013-09-01
YBYB,31.4,2013-09-01
AGNH,89.0,2013-10-01
AGNI,2785.0,2013-10-01
AGNJ,2874.0,2013-10-01
AGNM,1538.0,2013-10-01
AGNP,1337.0,2013-10-01
AGNT,840.0,2013-10-01
AGOJ,51.0,2013-10-01
AGOK,587.0,2013-10-01
AGOL,639.0,2013-10-01
AGOO,392.0,2013-10-01
AGOR,246.0,2013-10-01
AGOU,300.0,2013-10-01
AGPK,59.0,2013-10-01
AGPL,559.0,2013-10-01
AGPM,618.0,2013-10-01
AGPP,211.0,2013-10-01
AGPS,407.0,2013-10-01
AGPV,2033.0,2013-10-01
AIVZ,50.8,2013-10-01
AIWG,44.6,2013-10-01
AIWH,70.8,2013-10-01
AIWI,69.6,2013-10-01
AIWL,71.8,2013-10-01
AIWX,67.2,2013-10-01
AIXB,26.5,2013-10-01
AIXR,36.5,2013-10-01
AIXS,17.4,2013-10-01
AIXT,18.2,2013-10-01
AIXW,20.3,2013-10-01
AIXZ,15.6,2013-10-01
AIYC,26.3,2013-10-01
AIYL,36.3,2013-10-01
AIYS,29.7,2013-10-01
AIYT,14.2,2013-10-01
AIYU,15.0,2013-10-01
AIYX,9.9,2013-10-01
AIZA,20.5,2013-10-01
AIZD,64.1,2013-10-01
JN5R,7304.0,2013-10-01
JN62,3173.0,2013-10-01
JN69,200.0,2013-10-01
JN6A,3931.0,2013-10-01
JN6B,4131.0,2013-10-01
JN6E,2141.0,2013-10-01
JN6H,1990.0,2013-10-01
LF2Q,7.4,2013-10-01
LF2S,22.3,2013-10-01
MGUQ,3714.0,2013-10-01
MGVF,939.0,2013-10-01
MGVU,2651.0,2013-10-01
MGWY,20.2,2013-10-01
YBVH,197.0,2013-10-01
YBVN,747.0,2013-10-01
YBXG,35.0,2013-10-01
YBXJ,24.0,2013-10-01
YBXM,12.4,2013-10-01
YBXV,134.0,2013-10-01
YBXY,233.0,2013-10-01
YBYB,31.4,2013-10-01
AGNH,85.0,2013-11-01
AGNI,2798.0,2013-11-01
AGNJ,2883.0,2013-11-01
AGNM,1528.0,2013-11-01
AGNP,1354.0,2013-11-01
AGNT,824.0,2013-11-01
AGOJ,50.0,2013-11-01
AGOK,589.0,2013-11-01
AGOL,638.0,2013-11-01
AGOO,397.0,2013-11-01
AGOR,242.0,2013-11-01
AGOU,293.0,2013-11-01
AGPK,71.0,2013-11-01
AGPL,549.0,2013-11-01
AGPM,620.0,2013-11-01
AGPP,219.0,2013-11-01
AGPS,401.0,2013-11-01
AGPV,2044.0,2013-11-01
AIVZ,50.8,2013-11-01
AIWG,41.1,2013-11-01
AIWH,71.1,2013-11-01
AIWI,69.6,2013-11-01
AIWL,71.3,2013-11-01
AIWX,67.8,2013-11-01
AIXB,26.1,2013-11-01
AIXR,37.1,2013-11-01
AIXS,17.4,2013-11-01
AIXT,18.1,2013-11-01
AIXW,20.6,2013-11-01
AIXZ,15.1,2013-11-01
AIYC,26.2,2013-11-01
AIYL,36.5,2013-11-01
AIYS,34.6,2013-11-01
AIYT,13.9,2013-11-01
AIYU,15.0,2013-11-01
AIYX,10.2,2013-11-01
AIZA,20.1,2013-11-01
AIZD,64.7,2013-11-01
JN5R,7302.0,2013-11-01
JN62,3161.0,2013-11-01
JN69,206.0,2013-11-01
JN6A,3936.0,2013-11-01
JN6B,4141.0,2013-11-01
JN6E,2144.0,2013-11-01
JN6H,1997.0,2013-11-01
LF2Q,7.4,2013-11-01
LF2S,22.3,2013-11-01
MGUQ,3707.0,2013-11-01
MGVF,931.0,2013-11-01
MGVU,2664.0,2013-11-01
MGWY,20.1,2013-11-01
YBVH,190.0,2013-11-01
YBVN,747.0,2013-11-01
YBXG,36.0,2013-11-01
YBXJ,25.0,2013-11-01
YBXM,13.1,2013-11-01
YBXV,132.0,2013-11-01
YBXY,234.0,2013-11-01
YBYB,31.6,2013-11-01
AGNH,87.0,2013-12-01
AGNI,2797.0,2013-12-01
AGNJ,2884.0,2013-12-01
AGNM,1534.0,2013-12-01
AGNP,1350.0,2013-12-01
AGNT,831.0,2013-12-01
AGOJ,50.0,2013-12-01
AGOK,578.0,2013-12-01
AGOL,628.0,2013-12-01
AGOO,380.0,2013-12-01
AGOR,247.0,2013-12-01
AGOU,294.0,2013-12-01
AGPK,69.0,2013-12-01
AGPL,553.0,2013-12-01
AGPM,621.0,2013-12-01
AGPP,219.0,2013-12-01
AGPS,403.0,2013-12-01
AGPV,2042.0,2013-12-01
AIVZ,50.9,2013-12-01
AIWG,42.3,2013-12-01
AIWH,71.2,2013-12-01
AIWI,69.8,2013-12-01
AIWL,71.9,2013-12-01
AIWX,67.5,2013-12-01
AIXB,26.2,2013-12-01
AIXR,36.5,2013-12-01
AIXS,17.1,2013-12-01
AIXT,17.9,2013-12-01
AIXW,19.9,2013-12-01
AIXZ,15.5,2013-12-01
AIYC,26.1,2013-12-01
AIYL,36.5,2013-12-01
AIYS,33.4,2013-12-01
AIYT,14.1,2013-12-01
AIYU,15.0,2013-12-01
AIYX,10.3,2013-12-01
AIZA,20.1,2013-12-01
AIZD,64.5,2013-12-01
JN5R,7300.0,2013-12-01
JN62,3167.0,2013-12-01
JN69,206.0,2013-12-01
JN6A,3927.0,2013-12-01
JN6B,4133.0,2013-12-01
JN6E,2133.0,2013-12-01
JN6H,2000.0,2013-12-01
LF2Q,7.3,2013-12-01
LF2S,22.3,2013-12-01
MGUQ,3715.0,2013-12-01
MGVF,922.0,2013-12-01
MGVU,2663.0,2013-12-01
MGWY,19.9,2013-12-01
YBVH,191.0,2013-12-01
YBVN,737.0,2013-12-01
YBXG,31.0,2013-12-01
YBXJ,20.0,2013-12-01
YBXM,10.7,2013-12-01
YBXV,130.0,2013-12-01
YBXY,225.0,2013-12-01
YBYB,30.7,2013-12-01
AGNH,79.0,2014-01-01
AGNI,2827.0,2014-01-01
AGNJ,2906.0,2014-01-01
AGNM,1544.0,2014-01-01
AGNP,1363.0,2014-01-01
AGNT,827.0,2014-01-01
AGOJ,41.0,2014-01-01
AGOK,556.0,2014-01-01
AGOL,597.0,2014-01-01
AGOO,369.0,2014-01-01
AGOR,228.0,2014-01-01
AGOU,290.0,2014-01-01
AGPK,72.0,2014-01-01
AGPL,549.0,2014-01-01
AGPM,622.0,2014-01-01
AGPP,219.0,2014-01-01
AGPS,403.0,2014-01-01
AGPV,2056.0,2014-01-01
AIVZ,51.2,2014-01-01
AIWG,41.2,2014-01-01
AIWH,71.9,2014-01-01
AIWI,70.5,2014-01-01
AIWL,72.4,2014-01-01
AIWX,68.4,2014-01-01
AIXB,26.1,2014-01-01
AIXR,34.0,2014-01-01
AIXS,16.4,2014-01-01
AIXT,17.0,2014-01-01
AIXW,19.3,2014-01-01
AIXZ,14.3,2014-01-01
AIYC,25.9,2014-01-01
AIYL,36.7,2014-01-01
AIYS,37.6,2014-01-01
AIYT,14.0,2014-01-01
AIYU,15.1,2014-01-01
AIYX,10.3,2014-01-01
AIZA,20.2,2014-01-01
AIZD,64.8,2014-01-01
JN5R,7297.0,2014-01-01
JN62,3173.0,2014-01-01
JN69,192.0,2014-01-01
JN6A,3932.0,2014-01-01
JN6B,4125.0,2014-01-01
JN6E,2131.0,2014-01-01
JN6H,1993.0,2014-01-01
LF2Q,7.1,2014-01-01
LF2S,22.2,2014-01-01
MGUQ,3734.0,2014-01-01
MGVF,886.0,2014-01-01
MGVU,2677.0,2014-01-01
MGWY,19.2,2014-01-01
YBVH,182.0,2014-01-01
YBVN,711.0,2014-01-01
YBXG,32.0,2014-01-01
YBXJ,22.0,2014-01-01
YBXM,12.3,2014-01-01
YBXV,122.0,2014-01-01
YBXY,222.0,2014-01-01
YBYB,31.5,2014-01-01
AGNH,83.0,2014-02-01
AGNI,2810.0,2014-02-01
AGNJ,2894.0,2014-02-01
AGNM,1543.0,2014-02-01
AGNP,1351.0,2014-02-01
AGNT,832.0,2014-02-01
AGOJ,37.0,2014-02-01
AGOK,539.0,2014-02-01
AGOL,575.0,2014-02-01
AGOO,353.0,2014-02-01
AGOR,222.0,2014-02-01
AGOU,291.0,2014-02-01
AGPK,70.0,2014-02-01
AGPL,548.0,2014-02-01
AGPM,619.0,2014-02-01
AGPP,210.0,2014-02-01
AGPS,408.0,2014-02-01
AGPV,2084.0,2014-02-01
AIVZ,51.1,2014-02-01
AIWG,43.8,2014-02-01
AIWH,72.1,2014-02-01
AIWI,70.8,2014-02-01
AIWL,73.2,2014-02-01
AIWX,68.2,2014-02-01
AIXB,26.0,2014-02-01
AIXR,30.5,2014-02-01
AIXS,16.1,2014-02-01
AIXT,16.6,2014-02-01
AIXW,18.6,2014-02-01
AIXZ,14.1,2014-02-01
AIYC,25.9,2014-02-01
AIYL,37.0,2014-02-01
AIYS,37.0,2014-02-01
AIYT,14.1,2014-02-01
AIYU,15.1,2014-02-01
AIYX,10.0,2014-02-01
AIZA,20.6,2014-02-01
AIZD,65.0,2014-02-01
JN5R,7295.0,2014-02-01
JN62,3207.0,2014-02-01
JN69,191.0,2014-02-01
JN6A,3897.0,2014-02-01
JN6B,4088.0,2014-02-01
JN6E,2106.0,2014-02-01
JN6H,1982.0,2014-02-01
LF2Q,6.9,2014-02-01
LF2S,22.2,2014-02-01
MGUQ,3726.0,2014-02-01
MGVF,867.0,2014-02-01
MGVU,2703.0,2014-02-01
MGWY,18.9,2014-02-01
YBVH,181.0,2014-02-01
YBVN,691.0,2014-02-01
YBXG,30.0,2014-02-01
YBXJ,24.0,2014-02-01
YBXM,13.1,2014-02-01
YBXV,115.0,2014-02-01
YBXY,224.0,2014-02-01
YBYB,32.6,2014-02-01
AGNH,88.0,2014-03-01
AGNI,2850.0,2014-03-01
AGNJ,2938.0,2014-03-01
AGNM,1565.0,2014-03-01
AGNP,1373.0,2014-03-01
AGNT,844.0,2014-03-01
AGOJ,35.0,2014-03-01
AGOK,523.0,2014-03-01
AGOL,558.0,2014-03-01
AGOO,348.0,2014-03-01
AGOR,209.0,2014-03-01
AGOU,287.0,2014-03-01
AGPK,67.0,2014-03-01
AGPL,546.0,2014-03-01
AGPM,614.0,2014-03-01
AGPP,212.0,2014-03-01
AGPS,402.0,2014-03-01
AGPV,2052.0,2014-03-01
AIVZ,51.9,2014-03-01
AIWG,46.1,2014-03-01
AIWH,72.7,2014-03-01
AIWI,71.5,2014-03-01
AIWL,73.7,2014-03-01
AIWX,69.2,2014-03-01
AIXB,26.5,2014-03-01
AIXR,28.5,2014-03-01
AIXS,15.5,2014-03-01
AIXT,16.0,2014-03-01
AIXW,18.2,2014-03-01
AIXZ,13.2,2014-03-01
AIYC,25.3,2014-03-01
AIYL,36.6,2014-03-01
AIYS,35.5,2014-03-01
AIYT,13.9,2014-03-01
AIYU,14.9,2014-03-01
AIYX,10.0,2014-03-01
AIZA,20.3,2014-03-01
AIZD,64.5,2014-03-01
JN5R,7293.0,2014-03-01
JN62,3183.0,2014-03-01
JN69,190.0,2014-03-01
JN6A,3919.0,2014-03-01
JN6B,4109.0,2014-03-01
JN6E,2125.0,2014-03-01
JN6H,1984.0,2014-03-01
LF2Q,6.8,2014-03-01
LF2S,22.1,2014-03-01
MGUQ,3783.0,2014-03-01
MGVF,844.0,2014-03-01
MGVU,2666.0,2014-03-01
MGWY,18.2,2014-03-01
YBVH,175.0,2014-03-01
