ONS_CODE,Oct 2020-Sep 2021,Jan 2021-Dec 2021,Apr 2021-Mar 2022,Jul 2021-Jun 2022,Oct 2021-Sep 2022,Jan 2022-Dec 2022,Apr 2022-Mar 2023,Jul 2022-Jun 2023,Oct 2022-Sep 2023,Jan 2023-Dec 2023,Apr 2023-Mar 2024,Jul 2023-Jun 2024,Oct 2023-Sep 2024
E14000743,60.1,67.1,69.4,74.7,72.2,70.7,58.2,63.3,47.0,59.8,72.2,77.5,80.8
E14000744,84.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.9,76.0,71.4,59.2
E14000745,61.7,,,,,71.7,73.7,100.0,100.0,100.0,100.0,,
E14000746,67.0,57.5,57.1,66.8,86.6,100.0,100.0,54.4,45.2,46.6,55.0,63.6,81.9
E14000747,60.5,70.2,69.9,79.5,80.6,92.3,88.3,85.1,91.0,83.5,85.6,87.9,82.0
E14000748,,100.0,,,,,,,,,,,
E14000749,77.6,83.3,80.6,78.7,100.0,,,,,,,,74.4
E14000750,29.7,36.8,60.5,48.5,36.5,34.2,27.5,,46.8,34.5,47.8,51.1,45.1
E14000751,100.0,100.0,100.0,87.6,87.9,84.5,83.1,100.0,100.0,100.0,100.0,100.0,100.0
E14000752,80.9,87.5,91.1,91.4,100.0,100.0,100.0,100.0,78.5,77.0,,79.7,100.0
E14000753,55.6,58.3,55.8,,100.0,100.0,100.0,100.0,,,,,79.4
E14000754,68.2,69.0,70.9,72.8,92.3,91.2,76.3,76.2,63.2,47.6,45.5,50.6,68.3
E14000755,82.0,81.7,90.1,72.9,,,,,,,,,62.4
E14000756,100.0,89.9,93.4,83.0,77.3,60.8,57.7,50.7,59.9,72.9,70.3,85.6,84.1
E14000757,75.5,54.3,54.0,61.9,77.3,91.9,91.9,84.4,81.8,83.9,84.0,70.8,73.9
E14000758,,100.0,100.0,72.2,76.6,72.7,68.1,,,,,,
E14000759,80.0,77.2,68.8,61.0,71.7,81.1,67.1,68.0,53.1,,,56.8,46.7
E14000760,79.9,80.4,61.3,59.6,53.7,55.7,53.8,34.7,54.6,62.9,62.2,74.6,81.2
E14000761,100.0,100.0,100.0,100.0,100.0,,100.0,81.5,85.0,83.8,,,
E14000762,66.4,66.4,67.0,68.4,69.1,51.8,62.7,61.8,66.8,79.0,73.7,72.8,75.9
E14000763,71.1,69.0,69.0,81.3,,,,,,,,,
E14000764,65.3,,66.9,42.7,52.1,47.5,52.9,58.8,63.9,76.5,68.1,52.3,40.4
